num_coop_neighbors,p_s_given_C,p_s_given_D,prob_C_to_D_s,prob_D_to_C_s,r,run_id,rho_c_observed,p_c_to_d_observed,p_d_to_c_observed,p_c_to_d_predicted,p_d_to_c_predicted,rho_c_predicted
2,0.1304751195455592,0.0862341328622454,0.998117834460774,0.0057887749708067475,2.2,6,0.3578552,0.9873937838544752,0.5502515943444531,0.9875717219762885,0.5500328499086926,0.35772061293652113
3,0.21519541982343696,0.025557475510196454,1.0,1.2186502230129909e-05,2.2,6,0.3578552,0.9873937838544752,0.5502515943444531,0.9875717219762885,0.5500328499086926,0.35772061293652113
4,0.5600812842736391,0.007095595884292764,1.0,0.0021069265209375824,2.2,6,0.3578552,0.9873937838544752,0.5502515943444531,0.9875717219762885,0.5500328499086926,0.35772061293652113
0,0.03250089279220899,0.7131877271204187,0.7817918686447086,0.7730335724690738,2.2,7,0.3685068,0.9889467439949547,0.577103918141953,0.9888645744497282,0.5771371982424456,0.36854185500075576
1,0.04941781264280605,0.17105108970294533,0.9227719871261878,0.14803945833721194,2.2,7,0.3685068,0.9889467439949547,0.577103918141953,0.9888645744497282,0.5771371982424456,0.36854185500075576
2,0.12413773639997959,0.08378744220840383,0.998171168555874,0.005740664017108649,2.2,7,0.3685068,0.9889467439949547,0.577103918141953,0.9888645744497282,0.5771371982424456,0.36854185500075576
3,0.23051623470720214,0.024746426406491787,1.0,0.0,2.2,7,0.3685068,0.9889467439949547,0.577103918141953,0.9888645744497282,0.5771371982424456,0.36854185500075576
4,0.5634273234578032,0.0072273145617403325,1.0,0.0021910604732690623,2.2,7,0.3685068,0.9889467439949547,0.577103918141953,0.9888645744497282,0.5771371982424456,0.36854185500075576
0,0.04332995497934796,0.7059044999312936,0.7929717889034725,0.726213633817909,2.2,8,0.3508612,0.9866420111428679,0.5332757801567246,0.9864844228035239,0.5331995017128978,0.3508621056727747
1,0.05813466977824849,0.17199218410608025,0.926299611578352,0.11616649187337487,2.2,8,0.3508612,0.9866420111428679,0.5332757801567246,0.9864844228035239,0.5331995017128978,0.3508621056727747
2,0.14028453416906742,0.08828004118687714,0.9981430142080125,0.006313373699781579,2.2,8,0.3508612,0.9866420111428679,0.5332757801567246,0.9864844228035239,0.5331995017128978,0.3508621056727747
3,0.21810220109832607,0.026366626059018503,1.0,0.0,2.2,8,0.3508612,0.9866420111428679,0.5332757801567246,0.9864844228035239,0.5331995017128978,0.3508621056727747
4,0.5401486399750101,0.007456648716730536,1.0,0.003346830840426411,2.2,8,0.3508612,0.9866420111428679,0.5332757801567246,0.9864844228035239,0.5331995017128978,0.3508621056727747
0,0.03772511765080495,0.7196709902885253,0.7922497164283121,0.753780474649807,2.2,9,0.3642984,0.9880153193096648,0.566207793090343,0.9880133720216122,0.5659085204942477,0.3641808016347719
1,0.05073972325983315,0.16570164366426007,0.9227534775012997,0.13821915577499883,2.2,9,0.3642984,0.9880153193096648,0.566207793090343,0.9880133720216122,0.5659085204942477,0.3641808016347719
2,0.12542794588172773,0.08358701629821287,0.9981682159213073,0.0061621851197665905,2.2,9,0.3642984,0.9880153193096648,0.566207793090343,0.9880133720216122,0.5659085204942477,0.3641808016347719
3,0.2020420622215195,0.02378977809714495,1.0,0.0,2.2,9,0.3642984,0.9880153193096648,0.566207793090343,0.9880133720216122,0.5659085204942477,0.3641808016347719
4,0.5840651509861147,0.007250571651856783,1.0,0.0022563568515143627,2.2,9,0.3642984,0.9880153193096648,0.566207793090343,0.9880133720216122,0.5659085204942477,0.3641808016347719
0,0.30837344892035334,0.3164180324474781,0.7002446120450627,0.3095433377830403,3.0,0,0.2561764,0.7493586450586393,0.2580810826652986,0.7492366873603606,0.2584778257597464,0.2564990603930491
1,0.4086840161701078,0.41371421933910135,0.7298987067520085,0.2710466803522848,3.0,0,0.2561764,0.7493586450586393,0.2580810826652986,0.7492366873603606,0.2584778257597464,0.2564990603930491
2,0.21439601774402325,0.2139109326458585,0.7934359900393403,0.20918257369760607,3.0,0,0.2561764,0.7493586450586393,0.2580810826652986,0.7492366873603606,0.2584778257597464,0.2564990603930491
3,0.05680460807474849,0.051042209470094795,0.9356719902621814,0.07151780261459942,3.0,0,0.2561764,0.7493586450586393,0.2580810826652986,0.7492366873603606,0.2584778257597464,0.2564990603930491
4,0.011741909090767144,0.004914606097467195,1.0,0.0,3.0,0,0.2561764,0.7493586450586393,0.2580810826652986,0.7492366873603606,0.2584778257597464,0.2564990603930491
0,0.31334036362154905,0.3130734677939574,0.697565604771292,0.30053832360176486,3.0,1,0.2552764,0.7449744668915732,0.2553720601844765,0.7445936158719001,0.2553077394550311,0.255332926688108
