mc_step,rho_C,L_CD
450,0.819,2190
451,0.0916,988
452,0.8187,2184
453,0.0916,968
454,0.818,2224
455,0.093,1014
456,0.8182,2176
457,0.0941,968
458,0.8163,2216
459,0.0923,970
460,0.8147,2236
461,0.0923,1006
462,0.8195,2242
463,0.0914,990
464,0.8199,2226
465,0.0933,1002
466,0.8181,2182
467,0.094,984
468,0.8164,2196
469,0.0948,986
470,0.8157,2188
471,0.0944,1024
472,0.8175,2188
473,0.0935,968
474,0.821,2186
475,0.0922,1014
476,0.8165,2208
477,0.0935,1010
478,0.8159,2258
479,0.0929,954
480,0.8188,2202
481,0.0897,980
482,0.8224,2130
483,0.0886,930
484,0.8219,2232
485,0.0893,930
486,0.8223,2228
487,0.0927,988
488,0.819,2252
489,0.0896,1004
490,0.82,2164
491,0.0888,926
492,0.8237,2162
493,0.0872,926
494,0.827,2114
495,0.0875,914
496,0.8253,2124
497,0.0888,926
498,0.8263,2164
499,0.088,954
500,0.8228,2190
501,0.0889,1004
502,0.8255,2094
503,0.09,966
504,0.8242,2130
505,0.0891,972
506,0.8245,2084
507,0.0892,972
508,0.8224,2172
509,0.0908,970
510,0.8232,2136
511,0.0902,952
512,0.8261,2118
513,0.0889,968
514,0.8246,2154
515,0.0875,924
516,0.8303,2116
517,0.0875,900
518,0.8271,2100
519,0.0884,964
520,0.8235,2092
521,0.0885,960
522,0.8238,2116
523,0.0904,990
524,0.8244,2138
525,0.0892,968
526,0.8264,2052
527,0.0891,944
528,0.8229,2116
529,0.0885,922
530,0.8281,2060
531,0.0899,972
532,0.8264,2064
533,0.0888,998
534,0.8213,2148
535,0.0924,1036
536,0.8212,2182
537,0.0923,1076
538,0.8219,2220
539,0.0893,1028
540,0.826,2100
541,0.0861,972
542,0.8255,2144
543,0.0871,958
544,0.8267,2222
545,0.0863,936
546,0.8267,2174
547,0.0872,994
548,0.8257,2082
549,0.0894,956
550,0.8254,2068
551,0.0902,1002
552,0.8275,2052
553,0.0893,974
554,0.8277,2094
555,0.0891,972
556,0.828,2114
557,0.0881,940
558,0.8272,2146
559,0.0875,940
560,0.8257,2202
561,0.0859,894
562,0.83,2074
563,0.0869,900
564,0.8316,1996
565,0.0892,980
566,0.8253,2156
567,0.0889,986
568,0.8307,2118
569,0.0875,918
570,0.8265,2238
571,0.0869,930
572,0.8292,2080
573,0.0875,916
574,0.827,2066
575,0.0898,958
576,0.828,2042
577,0.0873,932
578,0.8283,2132
579,0.0878,932
580,0.8295,2056
581,0.0881,942
582,0.8285,2128
583,0.0863,922
584,0.8308,2028
585,0.087,934
586,0.8282,2054
587,0.0877,914
588,0.828,2032
589,0.089,990
590,0.8311,2012
591,0.087,912
592,0.8326,2008
593,0.0869,954
594,0.8279,2070
595,0.0883,924
596,0.8293,1986
597,0.0888,946
598,0.8236,2080
599,0.093,1056
600,0.8186,2090
601,0.0923,976
602,0.8254,2044
603,0.089,960
604,0.8275,2022
605,0.0877,964
606,0.8271,2152
607,0.0875,986
608,0.8298,2128
609,0.0878,1006
610,0.8265,2080
611,0.0888,998
612,0.8267,2098
613,0.0881,960
614,0.8292,2024
615,0.088,958
616,0.8319,1938
617,0.0864,910
618,0.8283,2078
619,0.088,956
620,0.8291,2070
621,0.0877,1014
622,0.8291,1990
623,0.0879,934
624,0.83,2064
625,0.0872,946
626,0.8333,1932
627,0.0902,980
628,0.8252,2024
629,0.0904,972
630,0.8284,1952
631,0.0911,978
632,0.8278,2022
633,0.0876,952
634,0.8288,2074
635,0.0881,964
636,0.8306,2022
637,0.0874,962
638,0.8279,2068
639,0.0885,1010
640,0.8237,2154
641,0.0882,988
642,0.8292,2134
643,0.0867,958
644,0.8313,2014
645,0.0868,920
646,0.8313,2042
647,0.0867,882
648,0.8325,1996
649,0.086,910
650,0.8315,2056
651,0.085,922
652,0.8327,2020
653,0.0872,928
654,0.8322,2004
655,0.0843,884
656,0.8312,2024
657,0.0864,956
658,0.835,1944
659,0.0863,886
660,0.8327,2000
661,0.0862,904
662,0.8326,1982
663,0.0853,926
664,0.8348,2040
665,0.0849,882
666,0.8328,2012
667,0.0849,896
668,0.832,1976
669,0.088,932
670,0.835,1940
671,0.083,878
672,0.834,2014
673,0.0839,934
674,0.837,2036
675,0.0826,900
676,0.8355,1962
677,0.0862,952
678,0.8331,1972
679,0.085,908
680,0.8367,1890
681,0.0861,922
682,0.8348,1948
683,0.0851,952
684,0.8366,1988
685,0.0842,904
686,0.8361,2026
687,0.083,876
688,0.8403,1890
689,0.0852,876
690,0.8308,2062
691,0.084,902
692,0.8333,2056
693,0.0845,852
694,0.8342,1908
695,0.0861,902
696,0.8355,1924
697,0.0856,902
698,0.8355,1920
699,0.0846,880
700,0.8379,1916
701,0.0853,904
702,0.8327,2084
703,0.0841,926
704,0.8354,1940
705,0.0837,950
706,0.8343,2064
707,0.083,892
708,0.8378,1968
709,0.0817,858
710,0.8393,1892
711,0.0834,882
712,0.8369,1888
713,0.0842,874
714,0.8361,1952
715,0.0831,856
716,0.8386,1866
717,0.0841,872
718,0.8399,1884
719,0.0829,862
720,0.8417,1840
721,0.0827,842
722,0.8399,1950
723,0.0825,868
724,0.8421,1846
725,0.0813,868
726,0.8416,1882
727,0.0826,844
728,0.8417,1880
729,0.0815,834
730,0.8374,2010
731,0.0819,864
732,0.8366,1940
733,0.0814,852
734,0.8388,1932
735,0.0805,824
736,0.8384,1944
737,0.083,890
738,0.8342,1946
739,0.0846,924
740,0.8389,1888
741,0.0861,926
742,0.8358,2014
743,0.0842,966
744,0.839,1922
745,0.0836,934
746,0.8383,1966
747,0.0833,900
748,0.8372,1978
749,0.0837,888
750,0.8402,1898
751,0.0849,890
752,0.8372,1894
753,0.0841,900
754,0.8354,1976
755,0.0839,922
756,0.8363,1964
757,0.0821,900
758,0.8394,1938
759,0.0812,840
760,0.8412,1922
761,0.0812,900
762,0.8394,1976
763,0.0795,896
764,0.8408,1946
765,0.0823,914
766,0.8399,1968
767,0.0815,860
768,0.8404,1984
769,0.0814,896
770,0.8409,1878
771,0.0812,866
772,0.8434,1900
773,0.0792,806
774,0.8484,1814
775,0.079,804
776,0.8458,1910
777,0.0801,844
778,0.842,1928
779,0.0802,858
780,0.8424,1962
781,0.08,876
782,0.843,1906
783,0.0798,888
784,0.8434,1930
785,0.0789,888
786,0.8426,1958
787,0.0812,902
788,0.8415,1898
789,0.0819,888
790,0.8397,1938
791,0.0806,894
792,0.8402,2006
793,0.0787,896
794,0.8455,1878
795,0.0805,868
796,0.8452,1896
797,0.0792,844
798,0.8431,1870
799,0.0802,836
800,0.8431,1962
801,0.0792,816
802,0.8446,1786
803,0.0803,838
804,0.8435,1896
805,0.0784,836
806,0.8427,1936
807,0.0779,838
808,0.8428,1896
809,0.0794,874
810,0.8454,1894
811,0.0801,874
812,0.8437,1904
813,0.0803,856
814,0.8418,1886
815,0.0818,890
816,0.8401,1912
817,0.0806,900
818,0.8432,1894
819,0.0789,860
820,0.8404,1972
821,0.08,864
822,0.8429,1824
823,0.0791,838
824,0.8458,1872
825,0.08,824
826,0.8435,1926
827,0.0806,872
828,0.8457,1840
829,0.0794,808
830,0.8467,1872
831,0.0796,820
832,0.844,1868
833,0.0798,886
834,0.8406,1868
835,0.0822,866
836,0.8429,1824
837,0.0823,898
838,0.8452,1808
839,0.0805,894
