mc_step,rho_C,L_CD
449,0.6676,8834
450,0.6606,9026
451,0.6639,8952
452,0.6659,8886
453,0.651,9100
454,0.6655,8972
455,0.6657,8916
456,0.6552,9140
457,0.6592,9030
458,0.6624,8980
459,0.6526,8990
460,0.657,9028
461,0.6648,8984
462,0.6606,9104
463,0.6664,8954
464,0.6625,9028
465,0.6618,8964
466,0.6667,8736
467,0.6591,8974
468,0.6645,9004
469,0.6686,8894
470,0.6639,8982
471,0.6573,9030
472,0.6623,8992
473,0.6575,8990
474,0.6562,9096
475,0.665,8818
476,0.6587,8974
477,0.6622,8968
478,0.662,8886
479,0.6561,9042
480,0.654,9138
481,0.6517,9092
482,0.6591,8996
483,0.6612,8850
484,0.6585,8922
485,0.6676,8956
486,0.6682,8918
487,0.6764,8842
488,0.6644,8960
489,0.6598,9088
490,0.6668,8948
491,0.6655,8950
492,0.6557,9042
493,0.6498,9074
494,0.6524,8984
495,0.6563,8946
496,0.6615,9078
497,0.6693,8770
498,0.6555,9098
499,0.6545,9042
500,0.6601,8986
501,0.6654,8984
502,0.6577,8920
503,0.6584,8964
504,0.6554,9072
505,0.6662,8920
506,0.6637,9012
507,0.6626,8858
508,0.6558,8968
509,0.6642,8954
510,0.6604,9002
511,0.6676,8862
512,0.6532,9048
513,0.6578,9032
514,0.6584,9102
515,0.6621,9018
516,0.6633,8852
517,0.6608,9102
518,0.6585,9022
519,0.6637,9012
520,0.6653,8918
521,0.6619,8908
522,0.6705,8832
523,0.6634,8994
524,0.6618,8970
525,0.6585,8940
526,0.6581,8966
527,0.6556,9070
528,0.659,9158
529,0.6564,8956
530,0.653,9046
531,0.6733,8666
532,0.6658,8970
533,0.6637,8984
534,0.669,8860
535,0.6647,8960
536,0.6648,8940
537,0.6571,8956
538,0.6657,8970
539,0.6647,8814
540,0.6642,8948
541,0.6683,8820
542,0.6623,8896
543,0.6551,9022
544,0.665,8908
545,0.6677,8958
546,0.6595,8956
547,0.6552,8962
548,0.6641,8920
549,0.6648,9018
550,0.6604,8882
551,0.6608,8994
552,0.6618,8966
553,0.6617,8896
554,0.6561,9018
