mc_step,rho_C,rho_CD
629,0.1972,0.3132
630,0.2048,0.326
631,0.2112,0.3348
632,0.1852,0.2992
633,0.2092,0.33
634,0.1932,0.3068
635,0.21,0.3336
636,0.176,0.2916
637,0.2212,0.3408
638,0.1876,0.308
639,0.2088,0.3308
640,0.206,0.3204
641,0.1988,0.3256
642,0.2052,0.3244
643,0.1944,0.318
644,0.1896,0.3052
645,0.2044,0.3212
646,0.1912,0.3036
647,0.1996,0.3292
648,0.1916,0.322
649,0.198,0.3284
650,0.2044,0.3332
651,0.1964,0.3188
652,0.1988,0.332
653,0.2012,0.3312
654,0.1976,0.318
655,0.1984,0.3148
656,0.1972,0.3212
657,0.1976,0.318
658,0.2008,0.3208
659,0.1976,0.314
660,0.202,0.3184
661,0.1824,0.298
662,0.204,0.322
663,0.1816,0.29
664,0.2292,0.352
665,0.1792,0.3032
666,0.21,0.342
667,0.19,0.306
668,0.2092,0.3316
669,0.1944,0.3112
670,0.2016,0.3236
671,0.198,0.3188
672,0.19,0.3132
673,0.198,0.3092
674,0.1948,0.3144
675,0.2156,0.3432
676,0.18,0.2948
677,0.2112,0.3448
678,0.1912,0.3244
679,0.2116,0.3364
680,0.1892,0.3136
681,0.2096,0.332
682,0.1984,0.3176
683,0.2112,0.3392
684,0.1928,0.3224
685,0.202,0.332
686,0.1884,0.306
687,0.2064,0.326
688,0.1968,0.3184
689,0.1964,0.3228
690,0.2116,0.3348
691,0.186,0.314
692,0.2024,0.326
693,0.2012,0.3132
694,0.2028,0.3248
695,0.196,0.3092
696,0.202,0.316
697,0.2044,0.3216
698,0.204,0.3216
699,0.1856,0.3008
700,0.1944,0.3176
701,0.2096,0.336
702,0.1928,0.3116
703,0.1944,0.31
704,0.2028,0.33
705,0.1952,0.3176
706,0.2012,0.3208
707,0.1912,0.3128
708,0.1792,0.2924
709,0.2048,0.3152
710,0.1852,0.3004
711,0.2196,0.3344
712,0.1916,0.2996
713,0.1952,0.308
714,0.1948,0.298
715,0.2012,0.3172
716,0.1868,0.304
717,0.2044,0.3308
718,0.1964,0.316
719,0.2032,0.3296
720,0.2032,0.3236
721,0.2032,0.3228
722,0.208,0.3324
723,0.1988,0.3176
724,0.188,0.3016
725,0.202,0.324
726,0.2056,0.3232
727,0.192,0.3128
728,0.196,0.314
729,0.188,0.3132
730,0.2168,0.34
731,0.192,0.3104
732,0.208,0.3236
733,0.1912,0.3052
734,0.208,0.3264
735,0.2088,0.3264
736,0.1784,0.2932
737,0.2156,0.3328
738,0.1848,0.3068
739,0.2124,0.3344
740,0.1948,0.3128
741,0.2072,0.328
742,0.1992,0.3148
743,0.2064,0.3296
744,0.2048,0.3256
745,0.202,0.3236
746,0.2016,0.324
747,0.2004,0.3156
748,0.1932,0.3052
749,0.1984,0.3144
750,0.2,0.3088
751,0.2024,0.3148
752,0.2096,0.3244
753,0.1968,0.3164
754,0.1956,0.3076
755,0.1948,0.3064
756,0.1948,0.3108
757,0.2048,0.3276
758,0.2048,0.3292
759,0.1988,0.3188
760,0.2096,0.3264
761,0.1888,0.31
762,0.2144,0.3324
763,0.1856,0.3044
764,0.2048,0.3268
765,0.1844,0.292
766,0.2152,0.34
767,0.1732,0.286
768,0.2068,0.3276
769,0.1756,0.2908
770,0.21,0.3332
771,0.188,0.2996
772,0.2016,0.3172
773,0.1852,0.3052
774,0.2044,0.3256
775,0.1896,0.31
776,0.2012,0.3324
777,0.2104,0.3428
778,0.1936,0.3048
779,0.2072,0.3192
780,0.1976,0.3224
781,0.2028,0.3224
782,0.1912,0.3076
783,0.1992,0.3244
784,0.2012,0.3348
785,0.1964,0.318
786,0.202,0.3248
787,0.2084,0.3316
788,0.194,0.322
789,0.1976,0.3136
790,0.196,0.3088
791,0.1788,0.2988
792,0.226,0.3544
793,0.1832,0.306
794,0.2124,0.3384
795,0.1952,0.3208
796,0.1964,0.3212
797,0.192,0.318
798,0.2148,0.3424
799,0.1804,0.2956
800,0.2176,0.3484
801,0.1656,0.2816
802,0.218,0.3336
803,0.186,0.3028
804,0.2168,0.338
805,0.1968,0.3252
806,0.2024,0.3248
807,0.1888,0.3016
808,0.194,0.3036
809,0.2064,0.3256
810,0.2,0.3156
811,0.2092,0.322
812,0.178,0.2892
813,0.2292,0.3412
814,0.1768,0.2888
815,0.2052,0.3196
816,0.1924,0.316
817,0.2232,0.3476
818,0.1924,0.3132
819,0.218,0.3436
820,0.1884,0.3156
821,0.2048,0.3336
822,0.1916,0.3052
823,0.2104,0.3228
824,0.1996,0.312
825,0.21,0.3296
826,0.1928,0.3172
827,0.2076,0.3332
828,0.1876,0.296
829,0.204,0.3224
830,0.2068,0.3288
831,0.2136,0.3368
832,0.1928,0.3124
833,0.1956,0.3136
834,0.2204,0.3496
835,0.1896,0.3108
836,0.1968,0.318
837,0.1888,0.3028
838,0.2088,0.3284
839,0.1968,0.3088
840,0.2032,0.3228
841,0.1948,0.3072
842,0.208,0.3336
843,0.1848,0.3036
844,0.212,0.3356
845,0.1888,0.3044
846,0.2056,0.318
847,0.1964,0.3188
848,0.1968,0.3136
849,0.2056,0.3272
850,0.2016,0.3168
851,0.206,0.3296
852,0.1936,0.3108
853,0.1876,0.3068
854,0.1932,0.3092
855,0.1996,0.3228
856,0.2164,0.3456
857,0.1824,0.2988
858,0.1992,0.3136
859,0.1836,0.294
860,0.2036,0.3224
861,0.192,0.3092
862,0.2008,0.3232
863,0.1912,0.3112
864,0.1996,0.318
865,0.2012,0.3224
866,0.1856,0.3136
867,0.1988,0.3252
868,0.188,0.31
869,0.2144,0.3464
870,0.1784,0.2932
871,0.226,0.3584
872,0.1764,0.3004
873,0.2252,0.3572
874,0.1888,0.3072
875,0.2,0.328
876,0.2068,0.3256
877,0.188,0.3036
878,0.2204,0.3384
879,0.1896,0.2932
880,0.2084,0.3228
881,0.1948,0.3144
882,0.2048,0.332
883,0.1952,0.318
884,0.2108,0.326
885,0.1928,0.3112
886,0.204,0.3164
887,0.178,0.2932
888,0.2132,0.3368
889,0.1872,0.3016
890,0.2136,0.3332
891,0.1896,0.302
892,0.2232,0.3416
893,0.1756,0.2952
894,0.2244,0.352
