mc_step,rho_C,rho_CD
605,0.3508,0.2076
606,0.478,0.2192
607,0.3664,0.2168
608,0.4596,0.2148
609,0.3552,0.2128
610,0.472,0.2276
611,0.3596,0.2064
612,0.4728,0.2128
613,0.3616,0.2084
614,0.47,0.2124
615,0.3628,0.21
616,0.4532,0.2116
617,0.3692,0.2108
618,0.4596,0.2024
619,0.3672,0.2124
620,0.4508,0.2092
621,0.3748,0.2008
622,0.4568,0.2016
623,0.3692,0.2116
624,0.4604,0.2136
625,0.3696,0.2196
626,0.46,0.2244
627,0.3656,0.2148
628,0.458,0.2144
629,0.364,0.2092
630,0.458,0.2128
631,0.3668,0.214
632,0.4648,0.212
633,0.3696,0.2012
634,0.4628,0.2068
635,0.3696,0.2156
636,0.4588,0.2084
637,0.3692,0.2088
638,0.4672,0.2072
639,0.3604,0.204
640,0.4716,0.2156
641,0.3504,0.2072
642,0.472,0.2188
643,0.3528,0.2036
644,0.4784,0.2272
645,0.3612,0.2092
646,0.4656,0.2144
647,0.3636,0.2196
648,0.4716,0.2228
649,0.3584,0.2156
650,0.4764,0.218
651,0.352,0.1976
652,0.4808,0.2176
653,0.3408,0.1916
654,0.4792,0.2276
655,0.3548,0.2112
656,0.4656,0.2164
657,0.3684,0.2036
658,0.4716,0.2212
659,0.3592,0.1984
660,0.4636,0.2076
661,0.3656,0.208
662,0.47,0.2272
663,0.3508,0.2128
664,0.472,0.2332
665,0.3528,0.2016
666,0.4864,0.2208
667,0.3436,0.1924
668,0.4812,0.2172
669,0.352,0.2052
670,0.472,0.2196
671,0.3524,0.2036
672,0.4732,0.2168
673,0.3548,0.2068
674,0.4664,0.2308
675,0.3544,0.2096
676,0.4732,0.2288
677,0.3552,0.2128
678,0.476,0.2344
679,0.346,0.206
680,0.4856,0.2164
681,0.3536,0.1936
682,0.4772,0.2104
683,0.3548,0.2036
684,0.478,0.234
685,0.3456,0.2128
686,0.4728,0.2356
687,0.35,0.2148
688,0.4712,0.2344
689,0.3564,0.1984
690,0.4632,0.22
691,0.3616,0.22
692,0.4712,0.2216
693,0.3492,0.2128
694,0.478,0.2332
695,0.3472,0.2028
696,0.4732,0.2252
697,0.3496,0.2044
698,0.4708,0.2264
699,0.3548,0.2076
700,0.476,0.222
701,0.358,0.1908
702,0.4716,0.2196
703,0.3608,0.1952
704,0.466,0.1956
705,0.3576,0.1884
706,0.4688,0.202
707,0.362,0.1904
708,0.4596,0.2144
709,0.3696,0.2148
710,0.4652,0.2204
711,0.3668,0.216
712,0.462,0.2176
713,0.3784,0.2168
714,0.46,0.216
715,0.358,0.2032
716,0.4696,0.206
717,0.3636,0.2112
718,0.4708,0.2128
719,0.3648,0.206
720,0.4636,0.2116
721,0.3596,0.2032
722,0.4664,0.2084
723,0.3548,0.2164
724,0.4748,0.2256
725,0.3632,0.2144
726,0.4648,0.2144
727,0.3712,0.2012
728,0.46,0.2052
729,0.374,0.2068
730,0.4588,0.1948
731,0.3716,0.2184
732,0.4568,0.2088
733,0.3632,0.214
734,0.4596,0.2188
735,0.3596,0.2056
736,0.4612,0.216
737,0.3624,0.2008
738,0.47,0.2124
739,0.3624,0.2072
740,0.4548,0.2164
741,0.378,0.2024
742,0.4572,0.2112
743,0.3724,0.2056
744,0.4528,0.2112
745,0.3544,0.2012
746,0.4716,0.222
747,0.3484,0.2036
748,0.4772,0.2224
749,0.3532,0.2024
750,0.478,0.2256
751,0.3424,0.1816
752,0.4756,0.2164
753,0.3556,0.2016
754,0.47,0.2064
755,0.3588,0.2156
756,0.4596,0.2188
757,0.358,0.202
758,0.466,0.2196
759,0.3692,0.2108
760,0.4584,0.2008
761,0.366,0.22
762,0.4692,0.2176
763,0.3544,0.1956
764,0.4812,0.212
765,0.3624,0.1944
766,0.47,0.2192
767,0.352,0.1988
768,0.4768,0.2148
769,0.3568,0.1968
770,0.4668,0.2132
771,0.3532,0.1984
772,0.48,0.2168
773,0.3504,0.1904
774,0.4784,0.2128
775,0.348,0.1872
776,0.4824,0.2184
777,0.354,0.194
778,0.4724,0.204
779,0.3596,0.1928
780,0.4768,0.2104
781,0.3524,0.1968
782,0.4784,0.2212
783,0.3548,0.204
784,0.4672,0.2156
785,0.368,0.2048
786,0.4572,0.2
787,0.3652,0.2052
788,0.4588,0.2092
789,0.358,0.204
790,0.4612,0.2184
791,0.3744,0.2164
792,0.4396,0.2104
793,0.3752,0.216
794,0.446,0.2176
795,0.3708,0.216
796,0.4652,0.2356
797,0.3636,0.2084
798,0.4696,0.2172
799,0.3672,0.1972
800,0.4524,0.216
801,0.3648,0.2104
802,0.464,0.216
803,0.3676,0.1984
804,0.4676,0.2164
805,0.3588,0.2136
806,0.4636,0.2164
807,0.3528,0.216
808,0.4772,0.2124
809,0.3584,0.1964
810,0.4676,0.212
811,0.3632,0.202
812,0.462,0.2184
813,0.3632,0.22
814,0.4652,0.2096
815,0.364,0.2116
816,0.4636,0.208
817,0.3656,0.2012
818,0.4608,0.2036
819,0.3724,0.2056
820,0.4652,0.214
821,0.3548,0.2004
822,0.474,0.212
823,0.3664,0.2052
824,0.4624,0.2192
825,0.3592,0.1964
826,0.4716,0.214
827,0.3604,0.1972
828,0.47,0.2104
