mc_step,rho_C,rho_CD
842,0.7688,0.136
843,0.1,0.0544
844,0.7764,0.1324
845,0.1008,0.0492
846,0.7696,0.134
847,0.1004,0.0496
848,0.778,0.1336
849,0.0968,0.0464
850,0.7804,0.1324
851,0.1024,0.0544
852,0.776,0.1304
853,0.096,0.048
854,0.7788,0.1316
855,0.0976,0.048
856,0.7772,0.1284
857,0.0988,0.0496
858,0.7832,0.1348
859,0.0976,0.0584
860,0.7808,0.142
861,0.1012,0.0544
862,0.7796,0.1408
863,0.0984,0.0528
864,0.7816,0.13
865,0.0984,0.0528
866,0.7764,0.1316
867,0.098,0.0488
868,0.7752,0.1404
869,0.0976,0.0508
870,0.77,0.14
871,0.0956,0.0532
872,0.7736,0.14
873,0.1008,0.0552
874,0.7708,0.1412
875,0.1032,0.054
876,0.7748,0.1356
877,0.102,0.0556
878,0.7672,0.1512
879,0.098,0.0504
880,0.7728,0.1408
881,0.0988,0.05
882,0.7712,0.1412
883,0.1064,0.056
884,0.776,0.1312
885,0.0968,0.0548
886,0.7844,0.1296
887,0.1012,0.0568
888,0.7736,0.1384
889,0.1016,0.05
890,0.7744,0.14
891,0.102,0.052
892,0.7728,0.1352
893,0.1004,0.0508
894,0.7728,0.1376
895,0.1028,0.0576
896,0.7748,0.1296
897,0.1048,0.0624
898,0.768,0.1392
899,0.1032,0.0592
900,0.772,0.1364
901,0.1,0.054
902,0.7764,0.1392
903,0.1048,0.0608
904,0.7692,0.1368
905,0.102,0.0584
906,0.7728,0.1316
907,0.1,0.06
908,0.7748,0.1392
909,0.1,0.0544
910,0.778,0.1336
911,0.0988,0.054
912,0.7832,0.1196
913,0.0976,0.0452
914,0.7852,0.126
915,0.0964,0.0488
916,0.7824,0.1276
917,0.1008,0.05
918,0.7772,0.1404
919,0.1012,0.0564
920,0.7744,0.1364
921,0.0988,0.0488
922,0.7752,0.1364
923,0.1004,0.0544
924,0.7732,0.1292
925,0.1052,0.0516
926,0.774,0.126
927,0.0996,0.0536
928,0.7788,0.1276
929,0.1048,0.0492
930,0.7768,0.1248
931,0.1016,0.0504
932,0.7804,0.1312
933,0.0984,0.0448
934,0.7788,0.1364
935,0.0956,0.0448
936,0.7748,0.1384
937,0.0976,0.0488
938,0.7892,0.1244
939,0.0964,0.0468
940,0.7876,0.122
941,0.0988,0.0492
942,0.7756,0.1384
943,0.1016,0.0536
944,0.79,0.1188
945,0.0972,0.044
946,0.7832,0.1252
947,0.0964,0.0472
948,0.7792,0.1328
949,0.098,0.0504
950,0.7836,0.1296
951,0.0976,0.0504
952,0.784,0.128
953,0.1,0.0516
954,0.778,0.1344
955,0.0976,0.0444
956,0.7768,0.1324
957,0.102,0.0516
958,0.776,0.1348
959,0.0984,0.0476
960,0.7912,0.1192
961,0.0964,0.0484
962,0.7848,0.1184
963,0.1016,0.0452
964,0.7844,0.1228
965,0.1008,0.0476
966,0.7836,0.1256
967,0.1,0.0516
968,0.7748,0.1268
969,0.0968,0.0468
970,0.782,0.134
971,0.0972,0.0456
972,0.786,0.128
973,0.0964,0.0504
974,0.786,0.1332
975,0.0948,0.0488
976,0.7884,0.1312
977,0.0984,0.052
978,0.7796,0.13
979,0.1004,0.0532
980,0.7816,0.1332
981,0.0964,0.0516
982,0.7804,0.1256
983,0.0996,0.0516
984,0.7728,0.1264
985,0.104,0.0532
986,0.7776,0.1256
987,0.1,0.0508
988,0.788,0.1316
989,0.0984,0.0508
990,0.7764,0.1356
991,0.0988,0.0524
992,0.782,0.128
993,0.0968,0.05
994,0.7808,0.134
995,0.0956,0.0504
996,0.7856,0.13
997,0.0956,0.052
998,0.7764,0.1368
999,0.1004,0.054
1000,0.78,0.1248
1001,0.106,0.0628
1002,0.7728,0.1284
1003,0.1056,0.062
1004,0.77,0.1296
1005,0.1016,0.0556
1006,0.7768,0.1252
1007,0.0976,0.0488
1008,0.7792,0.1364
1009,0.0964,0.0536
1010,0.7816,0.1252
1011,0.0972,0.0476
1012,0.7848,0.1248
1013,0.0952,0.0516
1014,0.7848,0.1404
1015,0.092,0.054
1016,0.78,0.128
1017,0.0956,0.0528
1018,0.7748,0.14
1019,0.0932,0.0512
1020,0.7836,0.1252
1021,0.0956,0.0556
1022,0.7872,0.1224
1023,0.09,0.0436
1024,0.7912,0.1216
1025,0.0948,0.0508
1026,0.792,0.1372
1027,0.094,0.0496
1028,0.7864,0.1252
1029,0.0948,0.0476
1030,0.7856,0.1304
1031,0.0988,0.0528
1032,0.786,0.1332
1033,0.0936,0.0472
1034,0.7912,0.134
1035,0.09,0.044
1036,0.7892,0.1296
1037,0.092,0.0456
1038,0.794,0.1204
1039,0.0944,0.0472
1040,0.7888,0.13
1041,0.0952,0.05
1042,0.786,0.1328
1043,0.0956,0.0444
1044,0.7852,0.1172
1045,0.1028,0.0516
1046,0.782,0.1284
1047,0.0976,0.0532
1048,0.7836,0.1272
1049,0.094,0.0504
1050,0.7912,0.122
1051,0.094,0.0504
1052,0.7892,0.13
1053,0.094,0.048
1054,0.7948,0.1324
1055,0.0944,0.0508
1056,0.7892,0.1224
1057,0.0912,0.0496
1058,0.7836,0.13
