BETA,KAPPA,mean_rho_c,var_rho_c,std_rho_c,cv_rho_c
0.10630449594493915,0.42857142857142855,0.28276167999999996,0.00012927491557759998,0.011369912733948311,0.04021023193082002
0.10630449594493915,0.44897959183673464,0.281512,0.00013282816,0.011525109977783292,0.04094003089666974
0.10630449594493915,0.4693877551020408,0.28003224,0.0001376748965824,0.011733494644921435,0.04190051347273955
0.10630449594493915,0.4897959183673469,0.27852808,0.0001360697715136,0.011664894835085312,0.041880498494389906
0.10630449594493915,0.5102040816326531,0.27731120000000004,0.00014497489856,0.012040552253115303,0.043418917999400314
0.10630449594493915,0.5306122448979591,0.2757208,0.00013210220736,0.011493572436801363,0.04168554725215277
0.10630449594493915,0.5510204081632653,0.27412624,0.00012696300746239998,0.011267786271597451,0.04110436954739338
0.10630449594493915,0.5714285714285714,0.27248592,0.00013813392975359998,0.011753039170937871,0.04313264762795036
0.10630449594493915,0.5918367346938775,0.27079352,0.00012976235800959997,0.011391328193393427,0.042066472614977736
0.10630449594493915,0.6122448979591836,0.26904312,0.0001315985886656,0.011471642805875714,0.04263867742046596
0.10630449594493915,0.6326530612244897,0.26724088,0.00013411484082560002,0.011580796208620547,0.0433346732304599
0.10630449594493915,0.6530612244897959,0.26550231999999996,0.0001336498186176,0.011560701476017794,0.04354275124984895
0.10630449594493915,0.673469387755102,0.26333064,0.0001373162771904,0.011718202814015467,0.044499959495846994
0.10630449594493915,0.6938775510204082,0.26156792000000006,0.0001311377548736,0.011451539410646937,0.04378036653213029
0.10630449594493915,0.7142857142857142,0.25965815999999997,0.00013198122541440002,0.011488308205057871,0.0442439714009291
0.10630449594493915,0.7346938775510203,0.25765920000000003,0.00013972673536,0.011820606387152903,0.045876904015664494
0.10630449594493915,0.7551020408163265,0.25536376,0.0001415663026624,0.011898163835752137,0.04659300065033557
0.10630449594493915,0.7755102040816326,0.25318823999999995,0.0001397373657024,0.011821056031607328,0.04668880368064224
0.10630449594493915,0.7959183673469387,0.2508588,0.00013441270256,0.01159364923395563,0.046215836294982
0.10630449594493915,0.8163265306122448,0.24843,0.0001370543,0.011707019261964166,0.047124015867504594
0.10630449594493915,0.836734693877551,0.24607048,0.00013569106456959998,0.011648650761766358,0.04733867614581951
0.10630449594493915,0.8571428571428571,0.24362264,0.00013486883143040002,0.011613304070349662,0.04766923168696333
0.10630449594493915,0.8775510204081632,0.24093991999999997,0.0001407142143936,0.011862302238334682,0.049233444745622405
0.10630449594493915,0.8979591836734693,0.23825056,0.00014126496368640002,0.011885493834351184,0.049886530526313075
0.10630449594493915,0.9183673469387754,0.23552376000000003,0.00014236554746239997,0.011931703460210531,0.050660296269941216
0.10630449594493915,0.9387755102040816,0.23263416,0.0001449672810944,0.012040235923535718,0.05175609602448634
0.10630449594493915,0.9591836734693877,0.22980472,0.00015331639372159997,0.012382099729916569,0.053880963497688686
0.10630449594493915,0.9795918367346939,0.22753632,0.0001685802008576,0.012983843839849584,0.057062731083325886
0.10630449594493915,1.0,0.22738432000000003,0.00015344282613759998,0.012387204129164902,0.054476949550280776
0.11300645858107586,0.0,0.36679143999999997,9.480655072639999e-05,0.009736865549364435,0.026546054480890927
0.11300645858107586,0.02040816326530612,0.36135056000000004,9.57596036864e-05,0.009785683608537526,0.027080859120676398
0.11300645858107586,0.04081632653061224,0.3554384,9.809862144e-05,0.009904474818989647,0.027865517116298203
0.11300645858107586,0.061224489795918366,0.34909232,0.00010458616501760001,0.010226737750504802,0.02929522411293609
0.11300645858107586,0.08163265306122448,0.34321584000000005,0.0001298567730944,0.011395471604738435,0.03320205618930185
0.11300645858107586,0.1020408163265306,0.38251456,0.016427110844006398,0.1281682911019976,0.3350677451388977
0.11300645858107586,0.12244897959183673,0.39351223999999996,0.0282807466981824,0.16816880417658442,0.42735342660900316
0.11300645858107586,0.14285714285714285,0.38209168,0.0130394127147776,0.11419024789699687,0.2988556251656589
0.11300645858107586,0.16326530612244897,0.38767672000000003,0.0098830598100416,0.09941357960581441,0.2564342259339545
0.11300645858107586,0.18367346938775508,0.40279024,0.0217611849927424,0.14751672784041273,0.3662370961133833
0.11300645858107586,0.2040816326530612,0.40614848000000003,0.009343894561689601,0.09666382240367696,0.23800119208540915
