BETA,GAMMA,mean_rho_c,var_rho_c,std_rho_c,cv_rho_c
0.1,0.36106407876409946,0.33000271999999997,0.0001164714806016,0.010792195355978319,0.032703352735936
0.1,0.38382734896841403,0.32559175999999995,0.0001141522201024,0.0106842042334654,0.03281472551229614
0.1,0.40802572861969516,0.32086887999999997,0.00011866959154559999,0.010893557341181071,0.03395018345556313
0.1,0.4337496941348323,0.31560168000000005,0.0001134633891776,0.010651919506718026,0.03375114957156763
0.1,0.4610954260127488,0.30928360000000005,0.00011392283503999998,0.010673464059994767,0.03451028137280724
0.1,0.4901651684480225,0.30249104000000004,0.00012220969571839996,0.011054849420883125,0.03654603925089194
0.1,0.5210676116163322,0.29452848,0.00011678106088960001,0.01080652862345721,0.036690946231947456
0.1,0.5539182980610752,0.28560944,0.00011828195888640001,0.010875750957354624,0.038079101857958986
0.1,0.5888400547006117,0.27520680000000003,0.00012564753776000002,0.011209261249520416,0.040730320797016696
0.1,0.6259634520713893,0.4868538399999999,0.1894723516292544,0.4352842193662141,0.8940757648460042
0.1,0.6654272925240312,0.48250568000000005,0.18159973510373761,0.4261452042481971,0.8831920988954929
0.1,0.7073791291977272,0.48095200000000005,0.18285267392000001,0.42761276164305484,0.8890965452749022
0.1,0.7519758177133438,0.46815936,0.1495359580923904,0.3866987950490542,0.8259982136190851
0.1,0.7993841026480046,0.4578482400000001,0.1180097889689024,0.3435255288459686,0.750304355971683
0.1,0.8497812409839364,0.45616912000000004,0.1309092101824256,0.3618137783203199,0.7931571043658542
0.1,0.9033556648626223,0.40751296000000004,0.0406132709520384,0.20152734542001588,0.49452990506121786
0.1,0.9603076861222645,0.38548696,0.0482966226459584,0.21976492587753488,0.5700969129475479
0.1,1.0208502452527815,0.34377623999999996,0.0355631482354624,0.18858194037463502,0.5485601342740704
0.1,1.0852097075686449,0.0,0.0,0.0,0.0
0.1,1.153626709576396,0.0,0.0,0.0,0.0
0.1,1.226357058701375,0.0,0.0,0.0,0.0
0.1,1.303672689737678,0.0,0.0,0.0,0.0
0.1,1.3858626815974695,0.0,0.0,0.0,0.0
0.1,1.4732343381612067,0.0,0.0,0.0,0.0
0.1,1.5661143372700317,0.0,0.0,0.0,0.0
0.1,1.6648499521563311,0.0,0.0,0.0,0.0
0.1,1.769810349879349,0.0,0.0,0.0,0.0
0.1,1.8813879716206057,0.0,0.0,0.0,0.0
0.1,2.0,0.0,0.0,0.0,0.0
0.10630449594493915,0.1,0.36794975999999996,0.0001216332519424,0.011028746617018635,0.0299735121909541
0.10630449594493915,0.10630449594493915,0.36719287999999994,0.0001300538693056,0.011404116331640957,0.031057563892962627
0.10630449594493915,0.11300645858107586,0.36643976,0.00012486654714240002,0.011174370100475464,0.03049442587910074
0.10630449594493915,0.12013094617983913,0.36565776,0.0001190957357824,0.010913099274834807,0.029845118765795663
0.10630449594493915,0.12770459681036414,0.36460551999999996,0.0001210520655296,0.011002366360451737,0.03017608279888834
0.10630449594493915,0.13575572793777443,0.36367272,0.00011601151180160001,0.010770864022983486,0.029616914964046483
0.10630449594493915,0.14431444230063406,0.36270648,0.0001197467420096,0.010942885451726158,0.030170085331053798
0.10630449594493915,0.1534127404634391,0.36148055999999995,0.00012047651808639998,0.010976179576082016,0.030364508608933267
0.10630449594493915,0.16308464046497667,0.36032904,0.00012198469267840002,0.01104466806555996,0.03065161793665024
0.10630449594493915,0.1733663050099097,0.35902976,0.0001206350183424,0.010983397395268915,0.03059188574024871
