GAMMA,KAPPA,mean_rho_c,var_rho_c,std_rho_c,cv_rho_c
0.1,0.7551020408163265,0.29068792,0.0001631924620736,0.012774680507691767,0.04394637557588141
0.1,0.7755102040816326,0.28906800000000005,0.000154342704,0.012423473910303833,0.04297768660074388
0.1,0.7959183673469387,0.28747304,0.0001588913051584,0.01260520944524128,0.04384831859447161
0.1,0.8163265306122448,0.28577991999999997,0.0001464415167936,0.01210130227676344,0.04234483051420632
0.1,0.836734693877551,0.28392248,0.00014521463064960002,0.012050503335944105,0.04244293490231596
0.1,0.8571428571428571,0.28217327999999997,0.0001559488540416,0.012487948351975196,0.044256310703746284
0.1,0.8775510204081632,0.2917572,9.913909616e-05,0.009956861762623804,0.034127218668892505
0.1,0.8979591836734693,0.28948512,0.0001018642425856,0.010092781707022103,0.034864595828006995
0.1,0.9183673469387754,0.28688952,0.00010697921816959999,0.010343075856320497,0.03605247015060187
0.1,0.9387755102040816,0.28422368,0.0001029337112576,0.010145625227535265,0.03569591818505505
0.1,0.9591836734693877,0.28129168,0.0001033214507776,0.010164715971319613,0.036135857169041094
0.1,0.9795918367346939,0.27844352,0.00010218037800960001,0.010108431036001581,0.036303344520287564
0.1,1.0,0.27551624,0.0001051741362624,0.010255444225502862,0.03722264874659607
0.10630449594493915,0.0,0.39907504,0.00010245145699839999,0.010121830713779005,0.025363226709891464
0.10630449594493915,0.02040816326530612,0.39504912,0.0001036686272256,0.010181779177805812,0.02577345110351293
0.10630449594493915,0.04081632653061224,0.39075848,0.00010044227608959999,0.01002208940738407,0.025647784809133434
0.10630449594493915,0.061224489795918366,0.3861272,0.00010124590015999999,0.010062102173999228,0.02605903488280346
0.10630449594493915,0.08163265306122448,0.380938,0.000101843964,0.0100917770486669,0.026491914822535163
0.10630449594493915,0.1020408163265306,0.3754716,0.00011509567344000002,0.010728265164508194,0.02857277398479191
0.10630449594493915,0.12244897959183673,0.3691952,0.00011883863296000001,0.010901313359407664,0.029527234805348673
0.10630449594493915,0.14285714285714285,0.42632735999999993,0.05821033833943041,0.24126818758267823,0.565922364407197
0.10630449594493915,0.16326530612244897,0.41797280000000003,0.035294482140160004,0.18786825740438431,0.44947484000007726
0.10630449594493915,0.18367346938775508,0.4215884,0.02996059381744,0.17309128752609126,0.4105693788683258
0.10630449594493915,0.2040816326530612,0.4236450400000001,0.0219421432193984,0.14812880617691618,0.34965311095561546
0.10630449594493915,0.22448979591836732,0.35651376,0.00011045381066240001,0.010509700788433513,0.029479088797115468
0.10630449594493915,0.24489795918367346,0.35376727999999996,0.00011166702540160001,0.010567261963328061,0.029870659500584856
0.10630449594493915,0.26530612244897955,0.35022664,0.0001131757383104,0.010638408636182387,0.030375783624519218
0.10630449594493915,0.2857142857142857,0.34668984,0.0001125400887744,0.010608491352421418,0.030599371912431634
0.10630449594493915,0.3061224489795918,0.34311792,0.0001162028628736,0.010779743172896096,0.0314170218008319
0.10630449594493915,0.32653061224489793,0.3391648,0.00012070314496,0.010986498302917086,0.032392802268741
0.10630449594493915,0.3469387755102041,0.33509792000000005,0.0001242756596736,0.011147899339050384,0.03326758739370982
0.10630449594493915,0.36734693877551017,0.33070472,0.0001242287777216,0.011145796414864215,0.03370316702726291
0.10630449594493915,0.3877551020408163,0.32600735999999997,0.00012711719383040002,0.011274626106013451,0.0345839618651967
0.10630449594493915,0.4081632653061224,0.32083160000000005,0.00013692293744000002,0.011701407498245671,0.03647211651921341
0.10630449594493915,0.42857142857142855,0.3152544,0.00014653073663999997,0.01210498808921347,0.03839752304555772
0.10630449594493915,0.44897959183673464,0.30928552,0.00014842516632959998,0.012182986757343209,0.03939074405210826
0.10630449594493915,0.4693877551020408,0.30795456000000004,0.0001585386072064,0.012591211506697836,0.04088658893928323
0.10630449594493915,0.4897959183673469,0.3069428,0.00014914725615999998,0.01221258597349472,0.03978782357330004
0.10630449594493915,0.5102040816326531,0.30583832,0.0001557457955776,0.012479815526585319,0.040805270989538914
0.10630449594493915,0.5306122448979591,0.30474896,0.00015431022691839998,0.012422166756182271,0.04076196603323034
0.10630449594493915,0.5510204081632653,0.30351856,0.0001598297195264,0.0126423779221474,0.041652734258318176
0.10630449594493915,0.5714285714285714,0.3024448,0.00015794365695999998,0.012567563684342323,0.0415532476813697
